bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
Tata Steel IJmuiden BV,"Industrie, Energie en Raffinaderijen",Velsen Noord,4.59216,52.47656,408378600
Esso Nederland BV (Raffinaderij Rotterdam),"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.29626,51.87221,185702528
Shell Nederland Raffinaderij BV,"Industrie, Energie en Raffinaderijen",Vondelingenplaat Rotterdam,4.33532,51.88014,176558329
Vliegveld Luchthaven Schiphol,Verkeer en vervoer,Haarlemmermeer,4.76083,52.30833,161264591
BP Rotterdam Refinery,"Industrie, Energie en Raffinaderijen",Europoort Rotterdam,4.10780,51.94499,153678129
Nyrstar Budel BV,"Industrie, Energie en Raffinaderijen",Budel-Dorplein,5.60056,51.23816,108623303
RWE Eemshaven Holding BV,"Industrie, Energie en Raffinaderijen",Eemshaven,6.85914,53.44777,100145513
Zeeland Refinery N.V.,"Industrie, Energie en Raffinaderijen",Nieuwdorp,3.72704,51.44562,99427680
Chemelot Site Permit BV,"Industrie, Energie en Raffinaderijen",Geleen,5.79632,50.98059,71494934
Dow Benelux BV (Hoek),"Industrie, Energie en Raffinaderijen",Hoek,3.78247,51.34225,69424674
Uniper Centrale Maasvlakte,"Industrie, Energie en Raffinaderijen",Maasvlakte Rotterdam,4.02657,51.95907,57740428
RWE Generation NL B.V.,"Industrie, Energie en Raffinaderijen",Geertruidenberg,4.84388,51.70785,48084933
Shell Nederland Chemie BV (Moerdijk),"Industrie, Energie en Raffinaderijen",Moerdijk,4.56211,51.68785,45082859
YARA Sluiskil BV,"Industrie, Energie en Raffinaderijen",Sluiskil,3.85006,51.27764,42872847
Nuon Power Generation BV (Velsen),"Industrie, Energie en Raffinaderijen",Velsen Noord,4.63213,52.47276,41317968
Rockwool B.V.,"Industrie, Energie en Raffinaderijen",Roermond,6.04371,51.17062,37993943
Cabot BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.26431,51.89142,34944265
Centrale Rotterdam,"Industrie, Energie en Raffinaderijen",MAASVLAKTE ROTTERDAM,4.07205,51.94482,32003162
Ardagh Glass Dongen BV,"Industrie, Energie en Raffinaderijen",Dongen,4.99483,51.61370,28339096
Afval Energie Bedrijf (Amsterdam),"Afval, riolering, waterzuivering",Amsterdam,4.79289,52.39975,23489029
Nedmag BV,Handel/Diensten/Overheid en Bouw,Veendam,6.89665,53.11432,23110334
AVR NV (Rijnmond),"Afval, riolering, waterzuivering",Botlek Rotterdam,4.27639,51.89704,22650767
O-I Manufacturing Netherlands BV (Leerdam),"Industrie, Energie en Raffinaderijen",Leerdam,5.08588,51.88821,21017744
Attero BV (Moerdijk),"Afval, riolering, waterzuivering",Moerdijk,4.58161,51.68326,19696249
Ardagh Glass Moerdijk,"Industrie, Energie en Raffinaderijen",Moerdijk,4.59658,51.67757,18839322
O-I Manufacturing Netherlands BV (Maastricht),"Industrie, Energie en Raffinaderijen",Maastricht,5.70422,50.85899,16465106
ENGIE Energie Nederland NV (Eemscentrale),"Industrie, Energie en Raffinaderijen",Eemshaven,6.88088,53.43662,16242581
