bedrijf,longitude,latitude
Tata Steel IJmuiden BV,4.59216,52.47656
Esso Nederland BV (Raffinaderij Rotterdam),4.29626,51.87221
Shell Nederland Raffinaderij BV,4.33532,51.88014
Vliegveld Luchthaven Schiphol,4.76083,52.30833
BP Rotterdam Refinery,4.10780,51.94499
Nyrstar Budel BV,5.60056,51.23816
RWE Eemshaven Holding BV,6.85914,53.44777
Zeeland Refinery N.V.,3.72704,51.44562
Chemelot Site Permit BV,5.79632,50.98059
Dow Benelux BV (Hoek),3.78247,51.34225
Uniper Centrale Maasvlakte,4.02657,51.95907
RWE Generation NL B.V.,4.84388,51.70785
Shell Nederland Chemie BV (Moerdijk),4.56211,51.68785
YARA Sluiskil BV,3.85006,51.27764
Nuon Power Generation BV (Velsen),4.63213,52.47276
Rockwool B.V.,6.04371,51.17062
Cabot BV,4.26431,51.89142
Centrale Rotterdam,4.07205,51.94482
Ardagh Glass Dongen BV,4.99483,51.61370
Afval Energie Bedrijf (Amsterdam),4.79289,52.39975
Nedmag BV,6.89665,53.11432
AVR NV (Rijnmond),4.27639,51.89704
O-I Manufacturing Netherlands BV (Leerdam),5.08588,51.88821
Attero BV (Moerdijk),4.58161,51.68326
Ardagh Glass Moerdijk,4.59658,51.67757
O-I Manufacturing Netherlands BV (Maastricht),5.70422,50.85899
ENGIE Energie Nederland NV (Eemscentrale),6.88088,53.43662
ESD-SIC BV,6.96541,53.29720
Gunvor Petroleum Europoort B.V.,4.16573,51.93494
Nuon Power IJmond 1,4.60557,52.47489
Maxima-centrale,5.53021,52.57722
HVC (Alkmaar),4.76269,52.60978
Vliegveld Eindhoven,5.37417,51.45056
Air Liquide Pergen VOF,4.36752,51.88581
Sloe Centrale BV (Vlissingen),3.69338,51.44882
Nuon Power Projects 1 BV (Eemshaven),6.85914,53.44777
Twence BV Boeldershoek,6.78419,52.23426
Cargill Benelux BV,3.80260,51.23582
Enecogen VOF,4.09409,51.95838
Eneco (Lage Weide),5.07229,52.10303
Nuon Power Generation BV (Diemen),5.02118,52.33886
RWE Generation NL B.V.,5.90717,51.15446
Vliegveld Lelystad,5.52306,52.45528
Attero Noord BV,6.51497,52.79126
Climax Molybdenum BV,4.24849,51.88280
Vliegveld Rotterdam-Airport,4.43444,51.95250
Alco Energy Rotterdam,4.18355,51.92638
Wienerberger Steenfabriek Zennewijnen,5.41769,51.86413
Electric Glass Fiber NL BV,6.68020,53.17612
AVR Afvalverwerking BV (Duiven),6.00036,51.97054
Archer Daniels Midland Europoort BV (ADM),4.12248,51.95597
Rijnmond Energie,4.35179,51.89085
SABIC Innovative Plastics BV,4.25585,51.51059
Delesto BV,6.95434,53.31883
Shell Nederland Chemie BV (Pernis),4.36503,51.88395
Almatis BV,4.23825,51.88548
Suiker Unie (Dinteloord),4.43437,51.61818
Saint Gobain Construction Products,4.60295,51.56606
Nuon Power Generation BV (Hemweg),4.84710,52.40531
Vliegveld Luchthaven Eelde,6.57806,53.12056
Recycling Kombinatie Bouw- en Sloopafval Rotterdam,4.33281,51.88865
Europees Massagoed-Overslagbedrijf (Emo) B.V.,4.04929,51.93814
SUEZ ReEnergy Roosendaal,4.44361,51.54762
RWE Generation NL B.V.,4.58079,51.68490
Vliegveld Luchthaven Maastricht,5.76944,50.91250
ARN B.V.,5.79452,51.84631
Nobian Chemicals BV (Hengelo),6.79425,52.24674
EEW Energy from Waste Delfzijl B.V.,6.98764,53.30973
Vliegveld Teuge,6.04667,52.24139
Sappi Maastricht BV,5.69424,50.85772
HVC Afvalcentrale Dordrecht,4.73767,51.81542
Bunge Netherlands BV (Soja),4.86473,52.40161
Hexion B.V.,4.34662,51.87605
Eneco Bio Golden Raand,6.98392,53.31022
Waalsteenfabriek De Bylandt BV,6.07310,51.86518
Steenfabriek Engels Helden BV,5.97185,51.33355
Gouda Refractories BV,4.68996,52.01449
Rendac Son BV,5.44625,51.50485
Reststoffen Energie Centrale (REC),5.42910,53.19046
Albemarle Catalysts Company B.V.,4.94024,52.38460
Emmtec Services BV,6.90699,52.77500
Afvalstoffen Terminal Moerdijk BV (ATM),4.59953,51.69383
Sonac Burgum BV,5.99168,53.18099
Wienerberger Steenfabriek Kijfwaard West,6.04211,51.87586
Parenco B.V.,5.72845,51.96997
Vliegveld Budel,5.60194,51.25639
Wienerberger Steenfabriek Erlecom,5.96305,51.85063
Cargill BV (Multiseed),4.76970,52.41176
Smurfit Kappa Roermond Papier BV,6.00250,51.20616
Wienerberger Steenfabriek Poriso,5.99171,50.94095
Vliegveld Hilversum,5.14722,52.19250
Cabot Norit Activated Carbon (Klazienaveen),6.99788,52.72846
Ertsoverslag Europoort,4.11389,51.96295
Vliegveld Seppe,4.55250,51.55472
Stora Enso De Hoop B.V.,6.05477,52.09756
Steenfabriek De Vlijt BV,6.69075,51.96189
Vliegveld Midden Zeeland,3.72917,51.51222
Tronox Pigments (Holland) BV,4.26948,51.89729
Steenfabriek De Rijswaard BV,5.14309,51.76888
Biomassacentrale Moerdijk,4.58161,51.68614
Aurubis Netherlands B.V.,6.20704,52.15816
Lyondell Chemie Nederland BV,4.25286,51.88203
Avebe u.a. (Gasselternijveen),6.86825,52.98899
Avebe u.a. (Ter Apelkanaal),7.04573,52.92103
Cargill BV - Cargill Cocoa (Aurora),4.81815,52.46406
Suiker Unie Vierverlaten,6.49511,53.21380
Nestle Nederland BV (Nunspeet),5.79083,52.38439
Maasstroom Energie CV,4.35214,51.88984
Air Products Nederland BV (Botlek),4.25933,51.87895
Wienerberger Dakpanfabriek Janssen-Dings,6.14974,51.34111
EBS Terminal Laurenshaven,4.27166,51.88563
Vliegveld Texel,4.83361,53.11528
EemsEnergy Terminal B.V.,6.85294,53.44467
OBA Bulkterminal Amsterdam,4.82138,52.41042
EBS Terminal Europoort II,4.12410,51.95182
Olam Cocoa BV,4.80837,52.47008
Indorama Ventures Europe BV,4.09800,51.96093
Steenfabriek De Nijverheid BV,6.30619,51.89898
E.On Generations Den Haag,4.29056,52.07592
Crown van Gelder N.V.,4.63641,52.46700
Uniper Centrale RoCa,4.56110,51.95359
FrieslandCampina Veghel (DMV International),5.52509,51.61508
Eneco Warmteproductie Utrecht B.V.,5.07916,52.10093
Umicore Nederland BV,5.71403,50.76823
DAF Trucks N.V.,5.51777,51.43154
Johnson Matthey BV,5.71759,50.87992
Rosier Nederland B.V.,3.79978,51.22119
Vliegveld Hoogeveen,6.51583,52.73083
BECC B.V.,5.85219,51.75385
Nouryon Functional Chemicals BV,6.06331,51.15683
FrieslandCampina Domo (Borculo),6.52827,52.11855
VPR Energy B.V.,4.21727,51.91027
Eurogen CV,4.25733,51.88463
DRSH Zuiveringsslib N.V.,4.74067,51.81652
E.on Locatie Leiden,4.49404,52.16398
Rodruza Steenfabriek de Zandberg,5.97019,51.85736
Tate & Lyle Netherlands BV,4.81185,52.46475
Vloertegelfabriek Koninklijke Mosa BV,5.70639,50.86158
Enecal Energy VOF,4.25414,51.88905
ESKA Graphic Board BV (Hoogezand),6.75082,53.16249
Botlek VCM Plant,4.27797,51.87111
Cabot Norit Nederland B.V.,4.82431,52.42257
Internationale Graanoverslag Maatschappij Amsterdam BV,4.86337,52.40118
Lyondell Chemie Nederland B.V.,4.01932,51.96785
Solidus Solutions (Bad Nieuweschans),7.20295,53.18220
Slibverwerking Noord-Brabant,4.58016,51.68962
Air Liquide Nederland BV,4.25625,51.88525
Theo Pouw Secundaire Bouwstoffen B.V.,6.83782,53.44140
Arkema BV (Rotterdam),4.33576,51.88986
Wienerberger Steenfabriek Kijfwaard Oost,6.05767,51.87410
Nobian Industrial Chemicals BV (Botlek),4.27863,51.87401
Agristo NV,5.01666,51.59261
Ovet Vlissingen,3.70192,51.44589
Vaassen Flexible Packaging,5.96858,52.28523
Ardagh Metal Packaging Netherlands BV,6.18325,52.24355
Ardagh Metal Packaging Netherlands BV,6.48405,52.72737
Farm Frites BV,4.16461,51.82316
PQ Silicas BV (Winschoten),7.04749,53.13897
CAN-PACK Netherlands B.V.,5.70350,51.44270
BN International BV,5.24059,52.30293
DOC Kaas (Zuivelpark),6.52183,52.71368
MGG Netherlands BV,6.13759,51.33751
Steenfabriek Gebroeders Klinkers BV,5.67534,50.87835
FrieslandCampina (Leeuwarden),5.81891,53.19822
B.V. Steenfabriek Huissenswaard,5.98454,51.91232
FUJIFILM Manufacturing Europe BV,5.01196,51.59730
Emerald Kalama Chemical Rotterdam BV,4.26066,51.88618
Sonac Vuren BV,5.09081,51.83257
Sime Darby Unimills B.V.,4.64045,51.80765
DSM Delft Permit BV,4.34557,52.01844
Cargill BV,4.26049,51.50649
PPG Industries Chemicals BV,6.98614,53.30291
Wienerberger Steenfabriek Heteren,5.74445,51.96858
Galvano Hengelo BV,6.76716,52.24789
Air Products Nederland BV (Pernis),4.28742,51.87000
Eastman Chemical Middelburg BV,3.64383,51.49457
Aspen Oss B.V. (locatie De Geer),5.55483,51.78227
Promelca B.V. (Gorinchem),4.95418,51.82810
Ennatuurlijk BV (Helmond),5.68867,51.46358
ExxonMobil Chemical Holland BV (ROP van RPI),4.18480,51.92882
Odfjell Terminals (Rotterdam) BV,4.31979,51.88038
Aviko BV,6.19082,52.06690
Van Merksteijn International BV,6.61701,52.36611
VDL Nedcar BV,5.83206,51.04244
Afrikahaven Coal Terminal BV,4.74036,52.42304
Vliegveld Ameland,5.68389,53.45278
Rodruza Steenfabriek Rossum BV,5.34009,51.79393
Chemours Netherlands BV,4.72730,51.81815
ARKEMA Vlissingen BV,3.68967,51.45227
Heineken Nederland BV (Zoeterwoude),4.54072,52.13775
FNSteel BV,4.66006,51.85877
Nannoka Vulcanus Industries BV,6.25626,51.98433
Simadan,4.81052,52.39743
Kleiwarenfabriek Joosten Kessel BV,6.01227,51.27200
McCain Foods Holland BV (Lelystad),5.52619,52.54087
Monier BV (Tegelen),6.14046,51.33733
A. Jansen B.V.,5.44562,51.50225
Nouryon Functional Chemicals BV (CMC),5.94013,51.96512
ESKA Graphic Board BV (Sappemeer),6.80613,53.16194
E-max Remelt,6.03852,50.87809
Vliegveld Oostwold,7.04111,53.20806
Dynea,6.96468,53.31670
Aspen Oss B.V. (locatie Moleneind),5.53213,51.76375
Wienerberger Steenfabriek Schipperswaard,5.47800,51.89197
Wienerberger Dakpannenfabriek Narvik Tegelen,6.15518,51.33731
Sapa Profiles NL BV (Drunen),5.15146,51.69204
KH Dairy Sourcing BV,6.83713,52.65917
RWZI Hengelo,6.77135,52.27896
GMB Slibverwerking Zutphen BV,6.19530,52.16057
Monier BV (Woerden),4.87072,52.08528
Gieterij Doesburg BV,6.13166,52.00963
Klesch Aluminium Delfzijl,6.97859,53.31256
FrieslandCampina Domo (Beilen),6.52000,52.85556
BV Steenfabriek Hedikhuizen,5.20718,51.73724
Zalco B.V.,3.70297,51.45870
Zeolyst CV,6.98716,53.30743
Wienerberger Steenfabriek Haaften,5.18996,51.81840
Wienerberger Steenfabriek Thorn,5.86133,51.15684
Everris International BV,5.99842,50.85346
Steenfabriek Engels Oeffelt BV,5.91288,51.68840
Stichting AL-terrein,5.18849,52.11815
ExxonMobil Chemical Holland BV (RPP van RPI),4.28821,51.88189
Veolia Industriediensten BV,5.94187,51.96647
GMB Slibverwerking Tiel BV,5.43424,51.91717
Synbra Technology BV,4.63660,51.62603
