Stof,Bedrijf,Jaar,Hoeveelheid,Eenheid
Zwaveloxiden (als SO2),A. Jansen B.V.,2022,290,kg
Grof stof,A. Jansen B.V.,2022,358,kg
TSP (Totaal stof),A. Jansen B.V.,2022,358,kg
Koolstofmonoxide,A. Jansen B.V.,2022,3220,kg
Stikstofoxiden (als NO2),A. Jansen B.V.,2022,19742,kg
Koolstofdioxide,A. Jansen B.V.,2022,4373455,kg CO₂-eq
Koolstofdioxide,A. Jansen B.V.,2022,4373455,kg
HFK-32 (Difluor-Methaan),Abbott Healthcare Products BV,2022,1,kg
Zwaveloxiden (als SO2),Abbott Healthcare Products BV,2022,16,kg
Grof stof,Abbott Healthcare Products BV,2022,26,kg
TSP (Totaal stof),Abbott Healthcare Products BV,2022,26,kg
Koolstofmonoxide,Abbott Healthcare Products BV,2022,52,kg
Overige HFK's,Abbott Healthcare Products BV,2022,158,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Healthcare Products BV,2022,186,kg
HFK's of H-F-KWS,Abbott Healthcare Products BV,2022,344,kg
Dichloormethaan,Abbott Healthcare Products BV,2022,367,kg
Halogeenverb.org.,Abbott Healthcare Products BV,2022,710,kg
HFK-32 (Difluor-Methaan),Abbott Healthcare Products BV,2022,779,kg CO₂-eq
VOS,Abbott Healthcare Products BV,2022,1492,kg
NMVOS,Abbott Healthcare Products BV,2022,1493,kg
Stikstofoxiden (als NO2),Abbott Healthcare Products BV,2022,3544,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Healthcare Products BV,2022,241150,kg CO₂-eq
Koolstofdioxide,Abbott Healthcare Products BV,2022,10724058,kg CO₂-eq
Koolstofdioxide,Abbott Healthcare Products BV,2022,10724058,kg
Grof stof,Abbott Laboratories B.V.,2022,2,kg
TSP (Totaal stof),Abbott Laboratories B.V.,2022,2,kg
Overige HFK's,Abbott Laboratories B.V.,2022,52,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Laboratories B.V.,2022,67,kg
Halogeenverb.org.,Abbott Laboratories B.V.,2022,118,kg
HFK's of H-F-KWS,Abbott Laboratories B.V.,2022,118,kg
NMVOS,Abbott Laboratories B.V.,2022,118,kg
VOS,Abbott Laboratories B.V.,2022,118,kg
Grof stof,Abbott Laboratories B.V.,2022,3176,kg
TSP (Totaal stof),Abbott Laboratories B.V.,2022,3176,kg
Stikstofoxiden (als NO2),Abbott Laboratories B.V.,2022,9083,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Laboratories B.V.,2022,86450,kg CO₂-eq
Koolstofdioxide,Abbott Laboratories B.V.,2022,16632052,kg CO₂-eq
Koolstofdioxide,Abbott Laboratories B.V.,2022,16632052,kg
Koolstofdioxide,ABL-Technic Uden B.V.,2022,1033729,kg CO₂-eq
Koolstofdioxide,ABL-Technic Uden B.V.,2022,1033729,kg
NMVOS,AFP Holland BV,2022,11412,kg
VOS,AFP Holland BV,2022,11412,kg
Koolstofdioxide,AFP Holland BV,2022,531986,kg CO₂-eq
Koolstofdioxide,AFP Holland BV,2022,531986,kg
"Fijnstof (PM2,5)",Afrikahaven Coal Terminal BV,2022,4012,kg
